Fecha,Emisora,Precio.Sucio,Precio.Limpio,Intereses.Devengados,Dias.por.Vencer,Tasa.Descuento,Precio.Sucio.24.Hrs,Precio.Limpio.24.Hrs,Intereses.Devengados.24.Hrs,Dias.Por.Vencer.24.Hrs,Tasa.Descuento.24.Hrs,Plazo,Sobretasa,Duracion,Convexidad,Rendimiento,Instrumento,FechaInicioCupon,FechaFinCupon,Tasa.Cupon.Vigente,Tasa.Cupon.Vigente.24.Hrs,Moneda,Homologación.Calificación,Clave,fechaInicio,fechaFinal,PagosCupon,Maduración,PAGOS,PAGOS.EXACTOS,SeisMeses,NueveMeses,UnAño,TresAños,CincoAños,DiezAños
17/01/2019,ION,100.219208,99.99968,0.219528,21,0,100.250487,99.999598,0.250889,20,0,28,2.7,0.057826,0.007802,0.112831,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
10/01/2019,ION,100.000455,100.000455,0,28,0,100.031668,100.000307,0.031361,27,0,28,2.7,0.077101,0.011889,0.112841,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
18/01/2019,ION,100.249968,99.999079,0.250889,20,0,100.34394,99.998968,0.344972,17,0,28,2.7,0.055072,0.007279,0.112925,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
16/01/2019,ION,100.187369,99.999202,0.188167,22,0,100.218664,99.999136,0.219528,21,0,28,2.7,0.060579,0.008341,0.112925,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
18/01/2019,ION,99.999807,99.999807,0,28,0,100.093544,99.999461,0.094083,25,0,28,2.7,0.077101,0.011889,0.112925,93_ION_00219,18/01/2019,15/02/2019,0.1129,0.1129,MPS,A,4,18/01/2019,15/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
22/01/2019,ION,100.375172,99.998839,0.376333,16,0,100.406532,99.998838,0.407694,15,0,28,2.7,0.044057,0.005338,0.11295,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
15/01/2019,ION,100.155926,99.99912,0.156806,23,0,100.187217,99.99905,0.188167,22,0,28,2.7,0.063333,0.008894,0.11295,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
15/01/2019,ION,100.155926,99.99912,0.156806,23,0,100.187217,99.99905,0.188167,22,0,28,2.7,0.063333,0.008894,0.11295,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
14/01/2019,ION,100.124644,99.9992,0.125444,24,0,100.155926,99.99912,0.156806,23,0,28,2.7,0.066086,0.009463,0.11295,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
22/01/2019,ION,100.124644,99.9992,0.125444,24,0,100.155926,99.99912,0.156806,23,0,28,2.7,0.066086,0.009463,0.11295,93_ION_00219,18/01/2019,15/02/2019,0.1129,0.1129,MPS,A,4,18/01/2019,15/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
11/01/2019,ION,100.030857,99.999496,0.031361,27,0,100.124644,99.9992,0.125444,24,0,28,2.7,0.074347,0.01126,0.11295,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
21/01/2019,ION,100.343587,99.998615,0.344972,17,0,100.374951,99.998618,0.376333,16,0,28,2.7,0.046811,0.0058,0.113,93_ION_00119,10/01/2019,07/02/2019,0.1129,0.1129,MPS,A,4,10/01/2019,07/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
21/01/2019,ION,100.093028,99.998945,0.094083,25,0,100.124313,99.998869,0.125444,24,0,28,2.7,0.068839,0.010046,0.113,93_ION_00219,18/01/2019,15/02/2019,0.1129,0.1129,MPS,A,4,18/01/2019,15/02/2019,28,28,1,1,0.112998398,0.112997597,0.112996796,0.112990388,0.11298398,0.11296796
